shopNo,distCode,totalTransactions,meanTransactions,medianTransactions,maxTransactions,stdTransactions,totalOtherShopTrans,meanUtilization,meanPortability,totalRice,totalWheat,meanRiceWheatRatio,meanTransactionToCardRatio,totalRcs,volatilityCoeff,portabilityLoad,seasonalPeakTransactions,seasonalMeanTransactions,seasonalStdTransactions,seasonalPeakToMean,latitude,longitude,distName,shopStatus,pca1,pca2,pca3,kmeans_cluster,dbscan_cluster,clusterPersona
1815033,533,33,33.0,33.0,33,0.0,33,0.0,1.0,747.0,0.0,0.0,0.0,0.0,0.0,1.0,33,33.0,0.0,1.0,,,,,-2.321631507037224,2.4362988091447915,-0.2725563394039394,1,2,Stable Rural Shops
1815034,533,63,63.0,63.0,63,0.0,63,0.0,1.0,1289.0,0.0,0.0,0.0,0.0,0.0,1.0,63,63.0,0.0,1.0,,,,,-2.210790614960735,2.391523799329375,-0.3097347421080039,1,2,Stable Rural Shops
1814033,533,13,13.0,13.0,13,0.0,13,0.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0,1.0,13,13.0,0.0,1.0,,,,,-2.3955280007780466,2.46614994624026,-0.24776986917760638,1,2,Stable Rural Shops
1814027,533,10,10.0,10.0,10,0.0,10,0.0,1.0,215.0,0.0,0.0,0.0,0.0,0.0,1.0,10,10.0,0.0,1.0,,,,,-2.40663138897944,2.470635951177726,-0.2440454966670668,1,2,Stable Rural Shops
1814029,533,4,4.0,4.0,4,0.0,4,0.0,1.0,78.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4.0,0.0,1.0,,,,,-2.4288049365700406,2.4795933190273796,-0.23660799879096375,1,2,Stable Rural Shops
1814028,533,48,48.0,48.0,48,0.0,48,0.0,1.0,1036.0,0.0,0.0,0.0,0.0,0.0,1.0,48,48.0,0.0,1.0,,,,,-2.26620768179774,2.4139098152175635,-0.29114668453342674,1,2,Stable Rural Shops
1814040,533,95,23.75,20.0,52,23.05609102457165,95,0.0,1.0,1679.0,0.0,0.0,0.0,0.0,0.9707827799819642,1.0,52,23.75,23.05609102457165,2.1894736842105265,,,,,-1.4115494008303944,10.703851065481583,2.045551617097631,4,-1,Volatile Portability Hubs
1811012,533,34,17.0,17.0,30,18.384776310850235,34,0.0,1.0,617.0,0.0,0.0,0.0,0.0,1.0814574300500137,1.0,30,17.0,18.384776310850235,1.7647058823529411,,,,,-1.4949124453187188,10.379836581012551,1.9806957561675775,4,-1,Volatile Portability Hubs
1811013,533,11,11.0,11.0,11,0.0,11,0.0,1.0,228.0,0.0,0.0,0.0,0.0,0.0,1.0,11,11.0,0.0,1.0,,,,,-2.4029376437594614,2.469143869981966,-0.2452844548050296,1,2,Stable Rural Shops
1811014,533,16,8.0,8.0,15,9.899494936611665,16,0.0,1.0,354.0,0.0,0.0,0.0,0.0,1.2374368670764582,1.0,15,8.0,9.899494936611665,1.875,,,,,-1.5005321500987043,11.452213066543626,2.303321069703571,4,3,Volatile Portability Hubs
